file,geographic_coverage,possible_issue,evidence_categories,mime_type,thumbnail_http_status,commons_file_page
Ninghsia in Republic of China.svg,"Ninghsia, Republic of China",Commons category reports broken file links,Category:Files with broken file links,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Ninghsia_in_Republic_of_China.svg
Ninh Binh in Viet Nam.svg,"Ninh Binh, Viet Nam",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps of Vietnam,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Ninh_Binh_in_Viet_Nam.svg
Ninh Binh in Vietnam before 1 July 2025 (special marker).svg,"Ninh Binh, Vietnam before 1 July 2025",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps of Vietnam,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Ninh_Binh_in_Vietnam_before_1_July_2025_(special_marker).svg
Ninh Binh in Vietnam before 1 July 2025.svg,"Ninh Binh, Vietnam before 1 July 2025",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps of Vietnam,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Ninh_Binh_in_Vietnam_before_1_July_2025.svg
Ninh Thuan in Vietnam before 1 July 2025.svg,"Ninh Thuan, Vietnam before 1 July 2025",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps of Vietnam,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Ninh_Thuan_in_Vietnam_before_1_July_2025.svg
North america98.svg,North America with subnational borders,Commons category marks SVG as invalid,Category:Invalid SVG created with Other tools:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:North_america98.svg
North Backa in Serbia.svg,"North Backa, Serbia",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:North_Backa_in_Serbia.svg
North Carolina in United States (US48).svg,"North Carolina, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:North_Carolina_in_United_States_(US48).svg
North Carolina in United States.svg,"North Carolina, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:North_Carolina_in_United_States.svg
North Dakota in United States (US48).svg,"North Dakota, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:North_Dakota_in_United_States_(US48).svg
North Dakota in United States.svg,"North Dakota, United States",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Locator maps-USA,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:North_Dakota_in_United_States.svg
North East Combined Authority locator map.svg,the United Kingdom,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:North_East_Combined_Authority_locator_map.svg
North Korea on the globe (Japan centered).svg,North Korea,Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:North_Korea_on_the_globe_(Japan_centered).svg
North Korean missile range.svg,North Korea,Commons category marks SVG as invalid,Category:Invalid SVG created with Other tools:World maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:North_Korean_missile_range.svg
North Rhine-Westphalia location map 03.svg,North Rhine-Westphalia,Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:North_Rhine-Westphalia_location_map_03.svg
North Rhine-Westphalia location map 05.svg,North Rhine-Westphalia,Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:North_Rhine-Westphalia_location_map_05.svg
Northern Bahr el Ghazal in South Sudan (+Kafia Kingi).svg,"Northern Bahr el Ghazal, South Sudan (+Kafia Kingi)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Northern_Bahr_el_Ghazal_in_South_Sudan_(%2BKafia_Kingi).svg
Northern Bahr el Ghazal in South Sudan.svg,"Northern Bahr el Ghazal, South Sudan",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Northern_Bahr_el_Ghazal_in_South_Sudan.svg
Northern Ireland in United Kingdom.svg,"Northern Ireland, United Kingdom",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Northern_Ireland_in_United_Kingdom.svg
Northland in New Zealand.svg,"Northland, New Zealand",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Northland_in_New_Zealand.svg
Northumberland in England.svg,"Northumberland, England",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Northumberland_in_England.svg
Nova Scotia in Canada.svg,"Nova Scotia, Canada",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nova_Scotia_in_Canada.svg
Novara in Italy.svg,"Novara, Italy",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Italian province maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Novara_in_Italy.svg
NTR in Andhra Pradesh (India).svg,"NTR, Andhra Pradesh, India",Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Locator maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:NTR_in_Andhra_Pradesh_(India).svg
Nueva Esparta in Venezuela (+claimed).svg,"Nueva Esparta, Venezuela",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nueva_Esparta_in_Venezuela_(%2Bclaimed).svg
Nueva Esparta in Venezuela (special marker) (+claimed).svg,"Nueva Esparta, Venezuela",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nueva_Esparta_in_Venezuela_(special_marker)_(%2Bclaimed).svg
Nueva Esparta in Venezuela (special marker).svg,"Nueva Esparta, Venezuela",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nueva_Esparta_in_Venezuela_(special_marker).svg
Nueva Esparta in Venezuela.svg,"Nueva Esparta, Venezuela",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nueva_Esparta_in_Venezuela.svg
Nunkiang in Republic of China.svg,"Nunkiang, Republic of China",Commons category reports broken file links,Category:Files with broken file links,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nunkiang_in_Republic_of_China.svg
Nuoro in Italy (2001–2016).svg,"Nuoro, Italy (2001–2016)",Commons category marks SVG as invalid,Category:Invalid SVG created with Adobe Illustrator:Italian province maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:Nuoro_in_Italy_(2001%E2%80%932016).svg
NUTS 2 regions EU-27.svg,the European Union,Commons category marks SVG as invalid,Category:Invalid SVG created with Inkscape:Maps,image/svg+xml,200,https://commons.wikimedia.org/wiki/File:NUTS_2_regions_EU-27.svg
